Case Name,Appeal Number,Release Date,Status,File Path,PDF URL,Pages,Chunks
"Customedia Technologies, LLC v. Dish Network Corporation",19-1001,2019-11-01,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/19-1001.Order.11-1-2019.1.pdf,3,2
"Customedia Technologies, LLC v. Dish Network Corporation",18-2239,2019-11-01,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2239.Order.11-1-2019.1.pdf,4,2
"Arthrex, Inc. v. Smith & Nephew, Inc.",18-2140,2019-10-31,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2140.Opinion.10-31-2019.pdf,30,15
Idenix Pharmaceuticals LLC v. Gilead Sciences Inc.,18-1691,2019-10-30,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1691.Opinion.10-30-2019.pdf,40,20
"Liqwd, Inc. v. L'Oreal USA, Inc.",18-2152,2019-10-30,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2152.Opinion.10-30-2019.pdf,11,6
"Guarantee Company of North v. Ikhana, LLC",18-1394,2019-10-29,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1394.Opinion.10-29-2019.pdf,17,9
LATURNER v. US [ERRATA],18-2213,2019-10-24,completed,,https://cafc.uscourts.gov/opinions-orders/18-1509.Errata.10-24-2019.1.pdf,1,1
INTELLECTUAL VENTURES I LLC v. CAPITAL ONE FINANCIAL CORP [ERRATA],18-1980,2019-10-21,completed,,https://cafc.uscourts.gov/opinions-orders/18-1367.Errata.10-21-2019.1.pdf,1,1
RAYTHEON COMPANY v. SECRETARY OF DEFENSE [OPINION - PRECEDENTIAL],18-2226,2019-10-18,completed,,https://cafc.uscourts.gov/opinions-orders/18-2371.Opinion.10-18-2019.pdf,9,5
CHARLESTON AREA MEDICAL CTR. v. US [OPINION - PRECEDENTIAL],18-2400,2019-10-17,completed,,https://cafc.uscourts.gov/opinions-orders/18-2226.Opinion.10-17-2019.pdf,18,9
Fraunhofer-Gesellschaft v. Sirius Xm Radio Inc.,18-2400,2019-10-17,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2400.Opinion.10-17-2019.pdf,18,9
Mid Continent Steel & Wire v. United States,18-1296,2019-10-17,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1296.Opinion.10-17-2019.pdf,25,13
Francway v. Wilkie,18-2136,2019-10-15,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2136.Opinion.10-15-2019.pdf,10,5
"Hznp Medicines LLC v. Actavis Laboratories Ut, Inc.",17-2149,2019-10-10,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/17-2149.Opinion.10-10-2019.pdf,55,28
"B.E. Technology, L.L.C. v. Facebook, Inc.",18-2356,2019-10-09,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2356.Opinion.10-9-2019.pdf,9,5
"Osi Pharmaceuticals, LLC v. Apotex Inc.",18-1925,2019-10-04,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1925.Opinion.10-4-2019.pdf,20,10
Mid Continent Steel & Wire v. United States,18-1229,2019-10-03,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1229.Opinion.10-3-2019.pdf,21,11
American Axle & Manufacturing v. Neapco Holdings LLC,18-1763,2019-10-03,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1763.Opinion.10-3-2019.pdf,37,19
Callaway Manor Apartments v. United States,18-1926,2019-10-02,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1926.Opinion.10-2-2019.pdf,20,10
Montelongo v. Opm,18-2095,2019-10-02,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2095.Opinion.10-2-2019.pdf,8,4
Honeywell International Inc. v. Arkema Inc.,18-1151,2019-10-01,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1151.Opinion.10-1-2019.pdf,11,6
"Sipco, LLC v. Emerson Electric Co.",18-1635,2019-09-27,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1635.Errata.9-27-2019.1.pdf,1,1
"Campbell Soup Company v. Gamon Plus, Inc.",18-2029,2019-09-26,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2029.Opinion.9-26-2019.pdf,17,9
Alternative Carbon Resources v. United States,18-1948,2019-09-26,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1948.Opinion.9-26-2019.pdf,26,13
"Sipco, LLC v. Emerson Electric Co.",18-1635,2019-09-25,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1635.Opinion.9-25-2019.pdf,33,17
Sonoma Apartment Associates v. United States,18-1781,2019-09-23,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1781.Opinion.9-23-2019.pdf,14,7
"Inspired Development Group v. Inspired Products Group, LLC",18-1616,2019-09-18,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1616.Opinion.9-18-2019.pdf,26,13
"Intra-Cellular Therapies, Inc v. Iancu",18-1849,2019-09-18,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1849.Opinion.9-18-2019.pdf,22,11
Mayo Foundation v. Iancu,18-2031,2019-09-16,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2031.Opinion.9-16-2019.pdf,21,11
"Curver Luxembourg, Sarl v. Home Expressions Inc.",18-2214,2019-09-12,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2214.Opinion.9-12-2019.pdf,14,7
Henny Penny Corporation v. Frymaster LLC,18-1596,2019-09-12,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1596.Opinion.9-12-2019.pdf,15,8
Intellectual Ventures I LLC v. Capital One Financial Corp,18-1367,2019-09-10,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1367.Opinion.9-10-2019.pdf,39,20
Board of Regents v. Boston Scientific Corporation,18-1700,2019-09-05,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1700.Opinion.9-5-2019.pdf,26,13
SHARPE v. US [OPINION - PRECEDENTIAL],18-1406,2019-08-27,completed,,https://cafc.uscourts.gov/opinions-orders/18-1406.Opinion.8-27-2019.pdf,17,9
Guangdong Alison Hi-Tech Co. v. Itc,18-2042,2019-08-27,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2042.Opinion.8-27-2019.pdf,19,10
"ARTHREX, INC. v. SMITH & NEPHEW, INC. [OPINION - PRECEDENTIAL]",18-1584,2019-08-21,completed,,https://cafc.uscourts.gov/opinions-orders/18-1584.Opinion.8-21-2019.pdf,19,10
ALMANZA v. US [OPINION - PRECEDENTIAL],18-1803,2019-08-21,completed,,https://cafc.uscourts.gov/opinions-orders/18-1803.Opinion.8-21-2019.pdf,14,7
"THE CHAMBERLAIN GROUP, INC. v. TECHTRONIC INDUSTRIES CO. LTD [OPINION - PRECEDENTIAL]",18-2103,2019-08-21,completed,,https://cafc.uscourts.gov/opinions-orders/18-2103.Opinion.8-21-2019.pdf,15,8
"ANZA TECHNOLOGY, INC. v. MUSHKIN, INC. [OPINION - PRECEDENTIAL]",19-1045,2019-08-16,completed,,https://cafc.uscourts.gov/opinions-orders/19-1045.Opinion.8-16-2019.pdf,24,12
"NALPROPION PHARMACEUTICALS, v. ACTAVIS LABORATORIES FL, INC. [OPINION - PRECEDENTIAL]",18-1221,2019-08-15,completed,,https://cafc.uscourts.gov/opinions-orders/18-1221.Opinion.8-15-2019.pdf,29,15
"Swagway, LLC v. Itc",18-1672,2019-08-14,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1672.Opinion.8-14-2019.pdf,19,10
"SANOFI-AVENTIS U.S., LLC v. FRESENIUS KABI USA, LLC [OPINION - PRECEDENTIAL]",18-1804,2019-08-14,completed,,https://cafc.uscourts.gov/opinions-orders/18-1804.Opinion.8-14-2019.pdf,24,12
LATURNER v. US [OPINION - PRECEDENTIAL],18-1509,2019-08-13,completed,,https://cafc.uscourts.gov/opinions-orders/18-1509.Opinion.8-13-2019.pdf,22,11
"IRIDESCENT NETWORKS, INC. v. AT&T MOBILITY, LLC [OPINION - PRECEDENTIAL]",18-449,2019-08-12,completed,,https://cafc.uscourts.gov/opinions-orders/18-1449.Opinion.8-12-2019.pdf,16,8
MTD PRODUCTS INC. v. IANCU [OPINION - PRECEDENTIAL],17-2292,2019-08-12,completed,,https://cafc.uscourts.gov/opinions-orders/17-2292.Opinion.8-12-2019.pdf,15,8
"ELI LILLY AND COMPANY v. HOSPIRA, INC. [OPINION - PRECEDENTIAL]",18-2126,2019-08-09,completed,,https://cafc.uscourts.gov/opinions-orders/18-2126.Opinion.8-9-2019.pdf,26,13
GENETIC VETERINARY SCIENCES v. LABOKLIN GMBH & CO. KG [OPINION - PRECEDENTIAL],18-2056,2019-08-09,completed,,https://cafc.uscourts.gov/opinions-orders/18-2056.Opinion.8-9-2019.pdf,26,13
AMERICAN BANKERS ASSOCIATION v. US [OPINION - PRECEDENTIAL],18-1341,2019-08-08,completed,,https://cafc.uscourts.gov/opinions-orders/18-1341.Opinion.8-8-2019.pdf,17,9
JUANCHENG KANGTAI CHEMICAL CO. v. US [OPINION - PRECEDENTIAL],18-2298,2019-08-07,completed,,https://cafc.uscourts.gov/opinions-orders/18-2298.Opinion.8-7-2019.pdf,16,8
"AJINOMOTO CO., INC. v. ITC [OPINION - PRECEDENTIAL]",18-1590,2019-08-06,completed,,https://cafc.uscourts.gov/opinions-orders/18-1590.Opinion.8-6-2019.pdf,38,19
"ATEN INTERNATIONAL CO., LTD. v. UNICLASS TECHNOLOGY CO., LTD. [OPINION - PRECEDENTIAL]",18-1606,2019-08-06,completed,,https://cafc.uscourts.gov/opinions-orders/18-1606.Opinion.8-6-2019.pdf,11,6
"ATEN INTERNATIONAL CO., LTD. v. UNICLASS TECHNOLOGY CO., LTD. [OPINION - PRECEDENTIAL]",18-1922,2019-08-06,completed,,https://cafc.uscourts.gov/opinions-orders/18-1922.Opinion.8-6-2019.pdf,7,4
VIRNETX INC. v. APPLE INC. [OPINION - PRECEDENTIAL],17-1591,2019-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/17-1591.Opinion.8-1-2019.pdf,40,20
CAMPBELL v. US [OPINION - PRECEDENTIAL],18-2014,2019-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/18-2014.Opinion.8-1-2019.pdf,19,10
"HYLETE LLC v. HYBRID ATHLETICS, LLC [OPINION - PRECEDENTIAL]",17-2057,2019-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/17-2057.Opinion.8-1-2019.pdf,9,5
CELGENE CORPORATION v. PETER [OPINION - PRECEDENTIAL],18-1167,2019-07-30,completed,,https://cafc.uscourts.gov/opinions-orders/18-1167.Opinion.7-30-2019.pdf,36,18
"SOLUTRAN, INC. v. ELAVON, INC. [OPINION - PRECEDENTIAL]",19-1345,2019-07-30,completed,,https://cafc.uscourts.gov/opinions-orders/19-1345.Opinion.7-30-2019.pdf,14,7
AMGEN INC. v. COHERUS BIOSCIENCES INC. [OPINION - PRECEDENTIAL],18-1993,2019-07-29,completed,,https://cafc.uscourts.gov/opinions-orders/18-1993.Opinion.7-29-2019.pdf,12,6
Dela Cruz v. Wilkie,18-2101,2019-07-26,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2101.Opinion.7-26-2019.pdf,19,10
MOODY v. US [OPINION - PRECEDENTIAL],18-2227,2019-07-24,completed,,https://cafc.uscourts.gov/opinions-orders/18-2227.Opinion.7-24-2019.pdf,12,6
"AUTOMOTIVE BODY PARTS ASS'N v. FORD GLOBAL TECHNOLOGIES, LLC [OPINION - PRECEDENTIAL]",18-1613,2019-07-23,completed,,https://cafc.uscourts.gov/opinions-orders/18-1613.Opinion.7-23-2019.pdf,18,9
Francway v. Wilkie,2018-2136,2019-07-23,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-2136.Opinion.7-23-2019.pdf,9,5
ERWIN HYMER GROUP v. US [OPINION - PRECEDENTIAL],18-1282,2019-07-22,completed,,https://cafc.uscourts.gov/opinions-orders/18-1282.Opinion.7-22-2019.pdf,13,7
SMITH v. GSA [OPINION - PRECEDENTIAL],18-1604,2019-07-19,completed,,https://cafc.uscourts.gov/opinions-orders/18-1604.Opinion.7-19-2019.pdf,18,9
HEJRAN HEJRAT CO. LTD v. US ARMY CORPS OF ENGINEERS [OPINION - PRECEDENTIAL],18-2206,2019-07-17,completed,,https://cafc.uscourts.gov/opinions-orders/18-2206.Opinion.7-17-2019.pdf,7,4
"BECHTEL NATIONAL, INC. v. US [OPINION - PRECEDENTIAL]",18-2055,2019-07-16,completed,,https://cafc.uscourts.gov/opinions-orders/18-2055.Opinion.7-16-2019.pdf,12,6
"SAMSUNG ELECTRONICS CO., LTD. v. INFOBRIDGE PTE. LTD. [OPINION - PRECEDENTIAL]",18-2007,2019-07-12,completed,,https://cafc.uscourts.gov/opinions-orders/18-2007.Opinion.7-12-2019.pdf,20,10
"Sri International, Inc. v. Cisco Systems, Inc.",17-2223,2019-07-12,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/17-2223.Opinion.7-12-2019.pdf,29,15
QUAKE v. LO [OPINION - PRECEDENTIAL],18-1779,2019-07-10,completed,,https://cafc.uscourts.gov/opinions-orders/18-1779.Opinion.7-10-2019.pdf,29,15
"TQ DELTA, LLC v. DISH NETWORK LLC [OPINION - PRECEDENTIAL]",18-1799,2019-07-10,completed,,https://cafc.uscourts.gov/opinions-orders/18-1799.Opinion.7-10-2019.pdf,20,10
"CISCO SYSTEMS, INC. v. TQ DELTA, LLC [OPINION - PRECEDENTIAL]",18-1806,2019-07-10,completed,,https://cafc.uscourts.gov/opinions-orders/18-1806.Opinion.7-10-2019.pdf,10,5
"ENZO LIFE SCIENCES, INC. v. ROCHE MOLECULAR SYSTEMS, INC. [OPINION - PRECEDENTIAL]",17-2498,2019-07-05,completed,,https://cafc.uscourts.gov/opinions-orders/17-2498.Opinion.7-5-2019.pdf,16,8
"Athena Diagnostics, Inc. v. Mayo Collaborative Services",17-2508,2019-07-05,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/17-2508.Errata.7-5-2019.1.pdf,1,1
IN RE: GLOBAL IP HOLDINGS LLC [OPINION - PRECEDENTIAL],18-1426,2019-07-05,completed,,https://cafc.uscourts.gov/opinions-orders/18-1426.Opinion.7-5-2019.pdf,8,4
WESTECH AEROSOL CORPORATION v. 3M COMPANY [OPINION - PRECEDENTIAL],18-1699,2019-07-05,completed,,https://cafc.uscourts.gov/opinions-orders/18-1699.Opinion.7-5-2019.pdf,9,5
"ATHENA DIAGNOSTICS, INC. v. MAYO COLLABORATIVE SERVICES [ORDER DENYING REHEARING EN BANC - PRECEDENTIAL]",17-2508,2019-07-03,completed,,https://cafc.uscourts.gov/opinions-orders/17-2508.Order.7-3-2019.1.pdf,86,43
"KOLCRAFT ENTERPRISES, INC. v. GRACO CHILDREN'S PRODUCTS, INC [OPINION - PRECEDENTIAL]",18-1259,2019-07-02,completed,,https://cafc.uscourts.gov/opinions-orders/18-1259.Opinion.7-2-2019.pdf,10,5
QUIEDAN COMPANY v. US [OPINION - PRECEDENTIAL],18-1962,2019-07-02,completed,,https://cafc.uscourts.gov/opinions-orders/18-1962.Opinion.7-2-2019.pdf,9,5
Westrock Virginia Corporation v. United States,2018-1877,2019-06-28,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1877.Opinion.6-28-2019.pdf,10,5
"ELBIT SYSTEMS LAND AND C4I LTD v. HUGHES NETWORK SYSTEMS, LLC [OPINION - PRECEDENTIAL]",18-1910,2019-06-25,completed,,https://cafc.uscourts.gov/opinions-orders/18-1910.Opinion.6-25-2019.pdf,25,13
"CELLSPIN SOFT, INC. v. FITBIT, INC. [OPINION - PRECEDENTIAL]",18-1817,2019-06-25,completed,,https://cafc.uscourts.gov/opinions-orders/18-1817.Opinion.6-25-2019.pdf,24,12
NOVA v. SECRETARY OF VETERANS AFFAIRS [OPINION - PRECEDENTIAL],18-1391,2019-06-24,completed,,https://cafc.uscourts.gov/opinions-orders/18-1391.Opinion.6-24-2019.pdf,17,9
"UCB, INC. v. WATSON LABORATORIES INC. [OPINION - PRECEDENTIAL]",18-1397,2019-06-24,completed,,https://cafc.uscourts.gov/opinions-orders/18-1397.Opinion.6-24-2019.pdf,34,17
MAYNE PHARMA INTERNATIONAL PTY v. MERCK SHARP & DOHME CORP. [OPINION - PRECEDENTIAL],18-1593,2019-06-21,completed,,https://cafc.uscourts.gov/opinions-orders/18-1593.Opinion.6-21-2019.pdf,18,9
"GAME AND TECHNOLOGY CO., LTD. v. ACTIVISION BLIZZARD INC. [OPINION - PRECEDENTIAL]",18-1981,2019-06-21,completed,,https://cafc.uscourts.gov/opinions-orders/18-1981.Opinion.6-21-2019.pdf,18,9
Shea v. Wilkie,18-1735,2019-06-20,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1735.Opinion.6-20-2019.pdf,14,7
"FORUM US, INC. v. FLOW VALVE, LLC [OPINION - PRECEDENTIAL]",18-1765,2019-06-17,completed,,https://cafc.uscourts.gov/opinions-orders/18-1765.Opinion.6-17-2019.pdf,11,6
HYOSUNG TNS INC. v. ITC [OPINION - PRECEDENTIAL],17-2563,2019-06-17,completed,,https://cafc.uscourts.gov/opinions-orders/17-2563.Opinion.6-17-2019.pdf,15,8
Bmw of North America LLC v. United States,18-1109,2019-06-14,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1109.Opinion.6-14-2019.pdf,28,14
REGENTS OF THE UNIV. OF MINN. v. LSI CORPORATION [OPINION - PRECEDENTIAL],18-1559,2019-06-14,completed,,https://cafc.uscourts.gov/opinions-orders/18-1559.Opinion.6-14-2019.pdf,37,19
WELTY v. US [OPINION - PRECEDENTIAL],18-1558,2019-06-14,completed,,https://cafc.uscourts.gov/opinions-orders/18-1558.Opinion.6-14-2019.pdf,10,5
"POWER INTEGRATIONS, INC. v. SEMICONDUCTOR COMPONENTS [OPINION - PRECEDENTIAL]",18-1607,2019-06-13,completed,,https://cafc.uscourts.gov/opinions-orders/18-1607.Opinion.6-13-2019.pdf,22,11
"SAMSUNG ELECTRONICS CO., LTD. v. ELM 3DS INNOVATIONS, LLC [OPINION - PRECEDENTIAL]",17-2474,2019-06-12,completed,,https://cafc.uscourts.gov/opinions-orders/17-2474.Opinion.6-12-2019.pdf,18,9
FORD MOTOR COMPANY v. US [OPINION - PRECEDENTIAL],18-1018,2019-06-07,completed,,https://cafc.uscourts.gov/opinions-orders/18-1018.Opinion.6-7-2019.pdf,31,16
LONE STAR SILICON INNOVATIONS v. NANYA TECHNOLOGY CORPORATION [OPINION - PRECEDENTIAL],18-1581,2019-05-30,completed,,https://cafc.uscourts.gov/opinions-orders/18-1581.Opinion.5-30-2019.pdf,24,12
PAPST LICENSING GMBH & CO. KG v. SAMSUNG ELECTRONICS AMERICA [OPINION - PRECEDENTIAL],18-1777,2019-05-23,completed,,https://cafc.uscourts.gov/opinions-orders/18-1777.Opinion.5-23-2019.pdf,19,10
"QUEST INTEGRITY USA, LLC v. COKEBUSTERS USA INC. [OPINION - PRECEDENTIAL]",17-2423,2019-05-21,completed,,https://cafc.uscourts.gov/opinions-orders/17-2423.Opinion.5-21-2019.pdf,26,13
Sunpreme Inc. v. United States,2018-1116; 2018-1117; 2018-1118,2019-05-16,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1116.Opinion.5-16-2019.pdf,40,20
"Avx Corporation v. Presidio Components, Inc.",18-1106,2019-05-15,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1106.Errata.5-15-2019.1.pdf,1,1
NUVO PHARMACEUTICALS v. DR. REDDY'S LABORATORIES INC. [OPINION - PRECEDENTIAL],17-2473,2019-05-15,completed,,https://cafc.uscourts.gov/opinions-orders/17-2473.Opinion.5-15-2019.pdf,25,13
BTG INTERNATIONAL LIMITED v. AMNEAL PHARMACEUTICALS LLC [OPINION - PRECEDENTIAL],19-1147,2019-05-14,completed,,https://cafc.uscourts.gov/opinions-orders/19-1147.Opinion.5-14-2019.pdf,27,14
BRADIUM TECHNOLOGIES LLC v. IANCU [OPINION - PRECEDENTIAL],17-2579,2019-05-13,completed,,https://cafc.uscourts.gov/opinions-orders/17-2579.Opinion.5-13-2019.pdf,32,16
"AVX CORPORATION v. PRESIDIO COMPONENTS, INC. [OPINION - PRECEDENTIAL]",18-1106,2019-05-13,completed,,https://cafc.uscourts.gov/opinions-orders/18-1106.Opinion.5-13-2019.pdf,16,8
NOVARTIS PHARMACEUTICALS CORP v. WEST-WARD PHARMACEUTICALS [OPINION - PRECEDENTIAL],18-1434,2019-05-13,completed,,https://cafc.uscourts.gov/opinions-orders/18-1434.Opinion.5-13-2019.pdf,20,10
"SWAGWAY, LLC v. ITC [OPINION - PRECEDENTIAL]",18-1672,2019-05-09,completed,,https://cafc.uscourts.gov/opinions-orders/18-1672.Opinion.5-9-2019.pdf,14,7
"SUMECHT NA, INC. v. US [OPINION - PRECEDENTIAL]",19-1015,2019-05-08,completed,,https://cafc.uscourts.gov/opinions-orders/19-1015.Opinion.5-8-2019.pdf,14,7
AMGEN INC. v. SANDOZ INC. [OPINION - PRECEDENTIAL],18-1551,2019-05-08,completed,,https://cafc.uscourts.gov/opinions-orders/18-1551.Opinion.5-8-2019.pdf,16,8
ROBINSON v. DVA [OPINION - PRECEDENTIAL],17-2143,2019-05-06,completed,,https://cafc.uscourts.gov/opinions-orders/17-2143.Opinion.5-6-2019.pdf,30,15
MCCULLOCH v. HHS [OPINION - PRECEDENTIAL],18-2046,2019-05-03,completed,,https://cafc.uscourts.gov/opinions-orders/18-2046.Opinion.5-3-2019.pdf,11,6
NATIONAL GOVERNMENT SERVICES v. US [OPINION - PRECEDENTIAL],18-1927,2019-05-02,completed,,https://cafc.uscourts.gov/opinions-orders/18-1927.Opinion.5-2-2019.pdf,25,13
THERMOLIFE INTERNATIONAL LLC v. GNC CORPORATION [OPINION - PRECEDENTIAL],18-1657,2019-05-01,completed,,https://cafc.uscourts.gov/opinions-orders/18-1657.Opinion.5-1-2019.pdf,31,16
TRADING TECHNOLOGIES INTL v. IBG LLC [OPINION - PRECEDENTIAL],17-2323,2019-04-30,completed,,https://cafc.uscourts.gov/opinions-orders/17-2323.Opinion.4-30-2019.pdf,11,6
RUBIES COSTUME COMPANY v. US [OPINION - PRECEDENTIAL],18-1305,2019-04-29,completed,,https://cafc.uscourts.gov/opinions-orders/18-1305.Opinion.4-29-2019.pdf,16,8
VIRGIN ISLANDS PORT AUTHORITY v. US [OPINION - PRECEDENTIAL],18-1698,2019-04-26,completed,,https://cafc.uscourts.gov/opinions-orders/18-1698.Opinion.4-26-2019.pdf,12,6
"NEPTUNE GENERICS, LLC v. ELI LILLY & COMPANY [OPINION - PRECEDENTIAL]",18-1257,2019-04-26,completed,,https://cafc.uscourts.gov/opinions-orders/18-1257.Opinion.4-26-2019.pdf,11,6
GINSBURG v. US [OPINION - PRECEDENTIAL],18-1788,2019-04-25,completed,,https://cafc.uscourts.gov/opinions-orders/18-1788.Opinion.4-25-2019.pdf,14,7
SUCIC v. WILKIE [OPINION - PRECEDENTIAL],18-1486,2019-04-23,completed,,https://cafc.uscourts.gov/opinions-orders/18-1486.Opinion.4-23-2019.pdf,10,5
"VERSATOP SUPPORT SYSTEMS v. GEORGIA EXPO, INC. [OPINION - PRECEDENTIAL]",18-1208,2019-04-19,completed,,https://cafc.uscourts.gov/opinions-orders/18-1208.Opinion.4-19-2019.pdf,15,8
TRADING TECHNOLOGIES INT'L v. IBG LLC [OPINION - PRECEDENTIAL],17-2257,2019-04-18,completed,,https://cafc.uscourts.gov/opinions-orders/17-2257.Opinion.4-18-2019.pdf,20,10
E.I. DUPONT DE NEMOURS & CO. v. UNIFRAX I LLC [OPINION - PRECEDENTIAL],17-2575,2019-04-17,completed,,https://cafc.uscourts.gov/opinions-orders/17-2575.Opinion.4-17-2019.pdf,40,20
SCOTT v. WILKIE [OPINION - PRECEDENTIAL],18-1535,2019-04-15,completed,,https://cafc.uscourts.gov/opinions-orders/18-1535.Opinion.4-15-2019.pdf,11,6
ATI TECHNOLOGIES ULC V. IANCU [OPINION - PRECEDENTIAL],16-2222,2019-04-11,completed,,https://cafc.uscourts.gov/opinions-orders/16-2222.Opinion.4-11-2019.pdf,22,11
In Re: Siny Corp.,18-1077,2019-04-10,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1077.Opinion.4-10-2019.pdf,9,5
IRWIN INDUSTRIAL TOOL COMPANY v. US [OPINION - PRECEDENTIAL],18-1215,2019-04-09,completed,,https://cafc.uscourts.gov/opinions-orders/18-1215.Opinion.4-9-2019.pdf,11,6
"OMEGA PATENTS, LLC V. CALAMP CORP. [OPINION - PRECEDENTIAL]",18-1309,2019-04-08,completed,,https://cafc.uscourts.gov/opinions-orders/18-1309.Opinion.4-8-2019.pdf,30,15
"ABB, INC. v. US [OPINION - PRECEDENTIAL]",18-1300,2019-04-05,completed,,https://cafc.uscourts.gov/opinions-orders/18-1300.Opinion.4-5-2019.pdf,31,16
"TEK GLOBAL, S.R.L. V. SEALANT SYSTEMS INTERNATIONAL [OPINION - PRECEDENTIAL]",17-2507,2019-03-29,completed,,https://cafc.uscourts.gov/opinions-orders/17-2507.Opinion.3-29-2019.pdf,26,13
Shenyang Yuanda Aluminum v. United States,18-1553,2019-03-29,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1553.Errata.3-29-2019.1.pdf,2,1
AFGE LOCAL 3599 v. EEOC [OPINION - PRECEDENTIAL],18-1888,2019-03-29,completed,,https://cafc.uscourts.gov/opinions-orders/18-1888.Opinion.3-29-2019.pdf,12,6
GRUNENTHAL GMBH V. ALKEM LABORATORIES LIMITED [OPINION - PRECEDENTIAL],17-1153,2019-03-28,completed,,https://cafc.uscourts.gov/opinions-orders/17-1153.Opinion.3-28-2019.pdf,23,12
"ENDO PHARMACEUTICALS INC. V. TEVA PHARMACEUTICALS USA, INC. [OPINION - PRECEDENTIAL]",17-1240,2019-03-28,completed,,https://cafc.uscourts.gov/opinions-orders/17-1240.Opinion.3-28-2019.pdf,17,9
"CHARGEPOINT, INC. V. SEMACONNECT, INC. [OPINION - PRECEDENTIAL]",18-1739,2019-03-28,completed,,https://cafc.uscourts.gov/opinions-orders/18-1739.Opinion.3-28-2019.pdf,28,14
"Arctic Cat Inc. v. Gep Power Products, Inc.",2018-1520; 2018-1521,2019-03-26,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1520.Opinion.3-26-2019.pdf,22,11
Shenyang Yuanda Aluminum Indus. Eng'g Co. v. United States,"2018-1553, 2018-1554",2019-03-18,completed,,http://www.cafc.uscourts.gov/sites/default/files/opinions-orders/18-1553.Opinion.3-18-2019.pdf,22,11
RUEL v. WILKIE [OPINION - PRECEDENTIAL],17-2562,2019-03-15,completed,,https://cafc.uscourts.gov/opinions-orders/17-2562.Opinion.3-15-2019.pdf,8,4
"NATURAL ALTERNATIVES INTL V. CREATIVE COMPOUNDS, LLC [OPINION - PRECEDENTIAL]",18-1295,2019-03-15,completed,,https://cafc.uscourts.gov/opinions-orders/18-1295.Opinion.3-15-2019.pdf,30,15
